"assignee_key_id","years","assignee_organization","assignee_type","assignee_country","assignee_state","number_of_patents","number_of_inventors","specialization","fuel_price","domestic","government"
633,1980,"Blackstone Corporation",2,"US","NY",1,1,"123/41.8",10.26,"1","0"
1544,1977,"American Motors Corporation",2,"US","MI",1,1,"123/553",5.23,"1","0"
2267,1976,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",55,118,"123/547",NA,"0","0"
2267,1977,"Toyota Jidosha Kabushiki Kaisha",3,".",".",1,198,"123/568.29",NA,"0","0"
2267,1977,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",85,198,"123/568.29",NA,"0","0"
2267,1978,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",89,217,"123/260",NA,"0","0"
2267,1979,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",81,213,"123/260",NA,"0","0"
2267,1980,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",103,292,"123/676",NA,"0","0"
2267,1980,"Toyota Jidosha Kabushiki Kaisha",3,"US",".",1,292,"123/676",NA,"0","0"
2267,1981,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",4,12,"123/556",NA,"0","0"
2267,1982,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",3,20,"701/105",NA,"0","0"
2267,1983,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",7,19,"701/110",NA,"0","0"
2267,1984,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",11,36,"701/103",NA,"0","0"
2267,1985,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",11,36,"701/123",NA,"0","0"
2267,1986,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",8,20,"701/105",NA,"0","0"
2267,1987,"Toyota Jidosha Kabushiki Kaisha",3,"JP",".",8,27,"701/103",NA,"0","0"
5068,1985,"South African Inventions Development Corporation",3,"ZA",".",1,1,"180/65.21",NA,"0","0"
5501,1977,"The Weatherhead Company",2,"US","OH",2,4,"123/196A",5.08,"1","0"
