assignee_name,fyear,inv_name
A Anderson,1971.0,3
A Baugh,1972.0,2
A Bentley,1972.0,1
A Bixier,1973.0,3
A Bodine,1972.0,3
A Bodine,1973.0,1
A Braun,1971.0,7
A Braun,1973.0,3
A Cristante,1972.0,1
A Dore,1972.0,1
A Gaffney,1972.0,2
A Hanes,1972.0,2
A King,1972.0,1
A King,1973.0,1
A Knebel,1970.0,2
A Lamm,1970.0,2
A Lariviere,1971.0,2
A Lee,1972.0,2
A Malherbe,1973.0,8
A Mccormick,1972.0,1
A Moiroux,1972.0,4
A Nilsson,1971.0,4
A Notaras,1972.0,2
A Notaras,1973.0,8
A Nutku,1970.0,3
A Peterson,1970.0,1
A Raab,1972.0,1
A Sangster,1972.0,1
A Stelzer,1971.0,1
A Takacs,1972.0,2
A Thiebaut,1972.0,4
A Trass,1972.0,3
A Weiertz,1971.0,3
ASSOCIATED ENGR Ltd,1975.0,10
Abom J,1975.0,3
Abraham Bloom,1973.0,2
Abraham Silverstein,1973.0,1
Acf Ind Inc,1968.0,1
Adams S,1970.0,6
Airas T,1970.0,2
Aisin Seiki,1970.0,1
Aisin Seiki,1971.0,4
Aisin Seiki,1972.0,2
Aisin Seiki,1973.0,4
Aisin Seiki Co Ltd,1974.0,1
Akio Ito,1970.0,1
Alan Neville Trass,1974.0,3
Albert Gambon,1974.0,2
Albert J Dinnerstein,1970.0,1
Albert J Melloni,1969.0,2
Albert Pike,1973.0,2
Alden L Safstrom,1970.0,1
Aldo Celli,1975.0,4
Alexandr Dmitrievich Kostylev,1973.0,4
Alfa Romeo Spa,1970.0,1
Alfred Zitz,1973.0,8
Alfredo Adragna,1974.0,2
Alister R Mc,1972.0,2
Allan R Thieme,1969.0,2
Allen M Freeman,1973.0,3
Allis Chalmers Mfg Co,1967.0,1
Alois Ferch,1973.0,2
Alpha Sev,1969.0,1
Alton L Hakanson,1973.0,4
Alvino J Ango,1974.0,1
Ambac Ind,1968.0,14
Ambac Ind,1969.0,24
American Environmental Researc,1970.0,2
American Gas Ass,1970.0,3
Amf Inc,1971.0,2
Amiot F,1974.0,4
Amos Russell J,1974.0,1
Andre Thirion,1974.0,1
Andreen John F,1975.0,2
Andrews Mfg Co,1967.0,1
Ansdale R F K,1973.0,2
Antioco Lampis,1969.0,1
Anton Braun,1969.0,6
Anton Braun,1970.0,5
Anton Braun,1973.0,4
Are Inc,1969.0,2
Arnie L Cliffgard,1973.0,3
Arnold Dotsch,1973.0,8
Arnold G Gulko,1974.0,4
Arnulfo Q Cena,1969.0,1
Arthur Ernest Henry Elmer,1970.0,1
Arthur Franklin Pfister,1973.0,3
Arthur H Featherstone,1970.0,6
Arthur K Thatcher,1970.0,1
Arthur M Fullerton,1968.0,3
Arthur W Farrall,1974.0,1
Asfar Khaled R,1975.0,1
Aspin Frank Metcalfe,1968.0,2
Ass Elect Ind,1966.0,0
Ass Eng Ltd,1968.0,2
Ass Eng Ltd,1972.0,12
Associated Western Enterprises,1968.0,3
Ata Nutku,1970.0,1
Ata Nutku,1973.0,1
Ates Componenti Elettron,1971.0,2
Atlantic Richfield Co,1968.0,6
Atlantic Richfield Co,1969.0,1
Atlantic Richfield Co,1974.0,6
Audi Ag,1971.0,3
August C Weiss,1969.0,1
August M Stenger,1970.0,1
Aurelio Bullo,1971.0,1
Aurora Fahrzeugheizungen,1968.0,2
Avco Corp,1968.0,6
Avermaete G Van,1972.0,3
B Brown,1971.0,6
B Eichbaum,1971.0,4
B Foster,1970.0,5
B Foster,1972.0,2
B Hender,1972.0,2
B Joyce,1972.0,3
B Karlowitz,1970.0,5
B Powell,1973.0,3
B Walker,1971.0,2
BACKUS DEVICES Inc,1974.0,5
Bachmann William V,1974.0,4
Baker Weldon S,1975.0,3
Barton R E,1972.0,8
Bbc Brown Boveri &amp; Cie,1969.0,1
Beam Prod Mfg Co,1972.0,2
Belcan Corp,1968.0,2
Bendix Corp,1968.0,25
Bendix Corp,1969.0,16
Bendix Corp,1970.0,12
Bendix Corp,1971.0,9
Bendix Corp,1972.0,1
Benito Polo,1974.0,3
Benjamin F Hughes,1973.0,1
Benton Corp,1968.0,1
Bernard Hooper,1970.0,1
Bernard J Veilleux,1970.0,1
Bernard Wax,1974.0,1
Berninger Kenneth L,1974.0,3
Berry W Foster,1972.0,4
Berstler Francis E,1974.0,1
Beverly Douglas,1974.0,3
Beverly Harvey W,1975.0,1
Bishop H,1971.0,4
Bitterman Edward P,1974.0,2
Bob N Myer,1970.0,2
Bohdan Kostecki,1974.0,4
Boniard I Brown,1966.0,2
Borg Warner,1968.0,2
Borg Warner,1969.0,2
Borg Warner,1970.0,2
Boris Pavlovich Gusev,1974.0,4
Bosch Gmbh Robert,1967.0,4
Bosch Gmbh Robert,1968.0,31
Bosch Gmbh Robert,1969.0,29
Bosch Gmbh Robert,1970.0,12
Bosch Gmbh Robert,1971.0,21
Bosch Gmbh Robert,1972.0,6
Bowles Fluidics Corp,1968.0,2
Boyd J Pierce Jr,1971.0,1
Bradley Curtis E,1974.0,5
Brain Stanley Collins,1974.0,2
Brent L Peterson,1973.0,1
Brev Etudes S I B E De,1968.0,6
Brien Edward M O,1974.0,1
Briggs &amp; Stratton Corp,1968.0,1
Briggs &amp; Stratton Corp,1969.0,8
Briggs &amp; Stratton Corp,1970.0,1
British Internal Combust Eng,1968.0,1
British Oxygen Co Ltd,1969.0,2
Brooks Walker,1967.0,2
Brooks Walker,1969.0,5
Brooks Walker,1971.0,1
Brooks Walker,1974.0,4
Brooks Walker,1975.0,1
Brown Arthur E,1974.0,3
Brown George A,1974.0,2
Brown Jesse C,1975.0,4
Brown William G,1974.0,4
Bruce Wiley,1968.0,2
Bruno Cavallarin,1970.0,4
Brunswick Corp,1966.0,5
Brunswick Corp,1968.0,16
Brunswick Corp,1969.0,7
Budge Edwin J,1974.0,2
Buffkin William R,1975.0,4
Buhr Machine Tool Corp,1968.0,2
Buzick John W,1968.0,1
Byron O Stookey,1974.0,2
C Burns,1972.0,3
C Constantinou,1972.0,1
C Dunlap,1972.0,4
C Erwin,1972.0,1
C Gardner,1972.0,2
C Hubers,1971.0,2
C Jacobs,1969.0,1
C Jacobs,1972.0,5
C Macmillan,1971.0,1
C May,1971.0,2
