assignee_name,fyear,patnum
A Anderson,1971.0,1
A Baugh,1972.0,1
A Bentley,1972.0,1
A Bixier,1973.0,1
A Bodine,1972.0,2
A Bodine,1973.0,1
A Braun,1971.0,2
A Braun,1973.0,1
A Cristante,1972.0,1
A Dore,1972.0,1
A Gaffney,1972.0,1
A Hanes,1972.0,1
A King,1972.0,1
A King,1973.0,1
A Knebel,1970.0,1
A Lamm,1970.0,1
A Lariviere,1971.0,1
A Lee,1972.0,1
A Malherbe,1973.0,1
A Mccormick,1972.0,1
A Moiroux,1972.0,1
A Nilsson,1971.0,1
A Notaras,1972.0,1
A Notaras,1973.0,1
A Nutku,1970.0,2
A Peterson,1970.0,1
A Raab,1972.0,1
A Sangster,1972.0,1
A Stelzer,1971.0,1
A Takacs,1972.0,1
A Thiebaut,1972.0,1
A Trass,1972.0,1
A Weiertz,1971.0,1
ASSOCIATED ENGR Ltd,1975.0,1
Abom J,1975.0,1
Abraham Bloom,1973.0,1
Abraham Silverstein,1973.0,1
Acf Ind Inc,1968.0,2
Adams S,1970.0,1
Airas T,1970.0,1
Aisin Seiki,1970.0,1
Aisin Seiki,1971.0,1
Aisin Seiki,1972.0,1
Aisin Seiki,1973.0,1
Aisin Seiki Co Ltd,1974.0,1
Akio Ito,1970.0,1
Alan Neville Trass,1974.0,1
Albert Gambon,1974.0,1
Albert J Dinnerstein,1970.0,1
Albert J Melloni,1969.0,1
Albert Pike,1973.0,1
Alden L Safstrom,1970.0,1
Aldo Celli,1975.0,1
Alexandr Dmitrievich Kostylev,1973.0,1
Alfa Romeo Spa,1970.0,1
Alfred Zitz,1973.0,1
Alfredo Adragna,1974.0,1
Alister R Mc,1972.0,1
Allan R Thieme,1969.0,1
Allen M Freeman,1973.0,1
Allis Chalmers Mfg Co,1967.0,1
Alois Ferch,1973.0,1
Alpha Sev,1969.0,1
Alton L Hakanson,1973.0,1
Alvino J Ango,1974.0,1
Ambac Ind,1968.0,3
Ambac Ind,1969.0,5
American Environmental Researc,1970.0,1
American Gas Ass,1970.0,1
Amf Inc,1971.0,1
Amiot F,1974.0,1
Amos Russell J,1974.0,1
Andre Thirion,1974.0,1
Andreen John F,1975.0,1
Andrews Mfg Co,1967.0,1
Ansdale R F K,1973.0,1
Antioco Lampis,1969.0,1
Anton Braun,1969.0,2
Anton Braun,1970.0,3
Anton Braun,1973.0,1
Are Inc,1969.0,1
Arnie L Cliffgard,1973.0,1
Arnold Dotsch,1973.0,1
Arnold G Gulko,1974.0,1
Arnulfo Q Cena,1969.0,1
Arthur Ernest Henry Elmer,1970.0,1
Arthur Franklin Pfister,1973.0,1
Arthur H Featherstone,1970.0,1
Arthur K Thatcher,1970.0,1
Arthur M Fullerton,1968.0,1
Arthur W Farrall,1974.0,1
Asfar Khaled R,1975.0,1
Aspin Frank Metcalfe,1968.0,1
Ass Elect Ind,1966.0,1
Ass Eng Ltd,1968.0,2
Ass Eng Ltd,1972.0,1
Associated Western Enterprises,1968.0,1
Ata Nutku,1970.0,1
Ata Nutku,1973.0,1
Ates Componenti Elettron,1971.0,1
Atlantic Richfield Co,1968.0,4
Atlantic Richfield Co,1969.0,1
Atlantic Richfield Co,1974.0,1
Audi Ag,1971.0,1
August C Weiss,1969.0,1
August M Stenger,1970.0,1
Aurelio Bullo,1971.0,1
Aurora Fahrzeugheizungen,1968.0,1
Avco Corp,1968.0,1
Avermaete G Van,1972.0,2
B Brown,1971.0,1
B Eichbaum,1971.0,1
B Foster,1970.0,1
B Foster,1972.0,1
B Hender,1972.0,1
B Joyce,1972.0,1
B Karlowitz,1970.0,1
B Powell,1973.0,1
B Walker,1971.0,2
BACKUS DEVICES Inc,1974.0,1
Bachmann William V,1974.0,1
Baker Weldon S,1975.0,1
Barton R E,1972.0,1
Bbc Brown Boveri &amp; Cie,1969.0,1
Beam Prod Mfg Co,1972.0,1
Belcan Corp,1968.0,1
Bendix Corp,1968.0,14
Bendix Corp,1969.0,9
Bendix Corp,1970.0,5
Bendix Corp,1971.0,5
Bendix Corp,1972.0,1
Benito Polo,1974.0,1
Benjamin F Hughes,1973.0,1
Benton Corp,1968.0,1
Bernard Hooper,1970.0,1
Bernard J Veilleux,1970.0,1
Bernard Wax,1974.0,1
Berninger Kenneth L,1974.0,1
Berry W Foster,1972.0,1
Berstler Francis E,1974.0,1
Beverly Douglas,1974.0,1
Beverly Harvey W,1975.0,1
Bishop H,1971.0,1
Bitterman Edward P,1974.0,1
Bob N Myer,1970.0,1
Bohdan Kostecki,1974.0,1
Boniard I Brown,1966.0,1
Borg Warner,1968.0,2
Borg Warner,1969.0,1
Borg Warner,1970.0,1
Boris Pavlovich Gusev,1974.0,1
Bosch Gmbh Robert,1967.0,1
Bosch Gmbh Robert,1968.0,14
Bosch Gmbh Robert,1969.0,8
Bosch Gmbh Robert,1970.0,5
Bosch Gmbh Robert,1971.0,5
Bosch Gmbh Robert,1972.0,1
Bowles Fluidics Corp,1968.0,1
Boyd J Pierce Jr,1971.0,1
Bradley Curtis E,1974.0,1
Brain Stanley Collins,1974.0,1
Brent L Peterson,1973.0,1
Brev Etudes S I B E De,1968.0,1
Brien Edward M O,1974.0,1
Briggs &amp; Stratton Corp,1968.0,2
Briggs &amp; Stratton Corp,1969.0,4
Briggs &amp; Stratton Corp,1970.0,1
British Internal Combust Eng,1968.0,1
British Oxygen Co Ltd,1969.0,1
Brooks Walker,1967.0,1
Brooks Walker,1969.0,3
Brooks Walker,1971.0,1
Brooks Walker,1974.0,2
Brooks Walker,1975.0,1
Brown Arthur E,1974.0,1
Brown George A,1974.0,1
Brown Jesse C,1975.0,1
Brown William G,1974.0,1
Bruce Wiley,1968.0,1
Bruno Cavallarin,1970.0,1
Brunswick Corp,1966.0,3
Brunswick Corp,1968.0,5
Brunswick Corp,1969.0,3
Budge Edwin J,1974.0,1
Buffkin William R,1975.0,1
Buhr Machine Tool Corp,1968.0,1
Buzick John W,1968.0,1
Byron O Stookey,1974.0,1
