"State","Years","fuel_dollars_per_gallon"
"AK",1970,0.4
"AK",1971,0.41
"AK",1972,0.4
"AK",1973,0.43
"AK",1974,0.6
"AK",1975,0.64
"AK",1976,0.67
"AK",1977,0.71
"AK",1978,0.76
"AK",1979,0.95
"AK",1980,1.28
"AK",1981,1.45
"AK",1982,1.42
"AK",1983,1.31
"AK",1984,1.26
"AK",1985,1.23
"AK",1986,0.98
"AK",1987,0.99
"AL",1970,0.35
"AL",1971,0.36
"AL",1972,0.37
"AL",1973,0.39
"AL",1974,0.52
"AL",1975,0.53
"AL",1976,0.59
"AL",1977,0.64
"AL",1978,0.66
"AL",1979,0.88
"AL",1980,1.24
"AL",1981,1.41
"AL",1982,1.33
"AL",1983,1.13
"AL",1984,1.12
"AL",1985,1.14
"AL",1986,0.87
"AL",1987,0.91
"AR",1970,0.34
"AR",1971,0.36
"AR",1972,0.35
"AR",1973,0.37
"AR",1974,0.51
"AR",1975,0.58
"AR",1976,0.6
"AR",1977,0.64
"AR",1978,0.66
"AR",1979,0.88
"AR",1980,1.24
"AR",1981,1.38
"AR",1982,1.3
"AR",1983,1.1
"AR",1984,1.07
"AR",1985,1.1
"AR",1986,0.86
"AR",1987,0.91
"AZ",1970,0.35
"AZ",1971,0.36
"AZ",1972,0.35
"AZ",1973,0.38
"AZ",1974,0.52
"AZ",1975,0.58
"AZ",1976,0.61
"AZ",1977,0.64
"AZ",1978,0.68
"AZ",1979,0.87
"AZ",1980,1.21
"AZ",1981,1.35
"AZ",1982,1.29
"AZ",1983,1.11
"AZ",1984,1.12
"AZ",1985,1.13
"AZ",1986,0.91
"AZ",1987,0.97
"CA",1970,0.35
"CA",1971,0.36
"CA",1972,0.35
"CA",1973,0.39
"CA",1974,0.56
"CA",1975,0.61
"CA",1976,0.63
"CA",1977,0.67
"CA",1978,0.69
"CA",1979,0.93
"CA",1980,1.27
"CA",1981,1.42
"CA",1982,1.35
"CA",1983,1.12
"CA",1984,1.09
"CA",1985,1.09
"CA",1986,0.84
"CA",1987,0.87
"CO",1970,0.34
"CO",1971,0.37
"CO",1972,0.35
"CO",1973,0.39
"CO",1974,0.53
"CO",1975,0.58
"CO",1976,0.61
"CO",1977,0.64
"CO",1978,0.63
"CO",1979,0.86
"CO",1980,1.17
"CO",1981,1.28
"CO",1982,1.27
"CO",1983,1.13
"CO",1984,1.12
"CO",1985,1.16
"CO",1986,0.85
"CO",1987,0.95
"CT",1970,0.37
"CT",1971,0.38
"CT",1972,0.38
"CT",1973,0.41
"CT",1974,0.55
"CT",1975,0.58
"CT",1976,0.6
"CT",1977,0.64
"CT",1978,0.67
"CT",1979,0.91
"CT",1980,1.26
"CT",1981,1.42
"CT",1982,1.29
"CT",1983,1.2
"CT",1984,1.14
"CT",1985,1.17
"CT",1986,0.93
"CT",1987,0.99
"DC",1970,0.36
"DC",1971,0.37
"DC",1972,0.38
"DC",1973,0.39
"DC",1974,0.56
"DC",1975,0.61
"DC",1976,0.64
"DC",1977,0.67
"DC",1978,0.68
"DC",1979,0.88
"DC",1980,1.25
"DC",1981,1.4
"DC",1982,1.32
"DC",1983,1.23
"DC",1984,1.23
"DC",1985,1.29
"DC",1986,1.03
"DC",1987,1.01
"DE",1970,0.36
"DE",1971,0.37
"DE",1972,0.37
"DE",1973,0.39
"DE",1974,0.51
"DE",1975,0.57
"DE",1976,0.57
"DE",1977,0.6
"DE",1978,0.62
"DE",1979,0.85
"DE",1980,1.2
"DE",1981,1.33
"DE",1982,1.25
"DE",1983,1.17
"DE",1984,1.12
"DE",1985,1.17
"DE",1986,0.87
"DE",1987,0.95
"FL",1970,0.35
"FL",1971,0.35
"FL",1972,0.36
"FL",1973,0.38
"FL",1974,0.51
"FL",1975,0.55
"FL",1976,0.57
"FL",1977,0.59
"FL",1978,0.65
"FL",1979,0.88
"FL",1980,1.23
"FL",1981,1.37
"FL",1982,1.31
"FL",1983,1.14
"FL",1984,1.12
"FL",1985,1.13
"FL",1986,0.84
"FL",1987,0.89
"GA",1970,0.35
"GA",1971,0.36
"GA",1972,0.36
"GA",1973,0.39
"GA",1974,0.55
"GA",1975,0.59
"GA",1976,0.61
"GA",1977,0.65
"GA",1978,0.66
"GA",1979,0.88
"GA",1980,1.24
"GA",1981,1.38
"GA",1982,1.3
"GA",1983,1.11
"GA",1984,1.07
"GA",1985,1.1
"GA",1986,0.79
"GA",1987,0.83
"HI",1970,0.42
"HI",1971,0.42
"HI",1972,0.42
"HI",1973,0.45
"HI",1974,0.6
"HI",1975,0.68
"HI",1976,0.71
"HI",1977,0.74
"HI",1978,0.78
"HI",1979,0.97
"HI",1980,1.35
"HI",1981,1.56
"HI",1982,1.54
"HI",1983,1.47
"HI",1984,1.45
"HI",1985,1.39
"HI",1986,1.2
"HI",1987,1.18
"IA",1970,0.35
"IA",1971,0.36
"IA",1972,0.37
"IA",1973,0.39
"IA",1974,0.51
"IA",1975,0.57
"IA",1976,0.6
"IA",1977,0.65
"IA",1978,0.68
"IA",1979,0.91
"IA",1980,1.25
"IA",1981,1.38
"IA",1982,1.33
"IA",1983,1.19
"IA",1984,1.17
"IA",1985,1.18
"IA",1986,0.89
"IA",1987,0.92
"ID",1970,0.35
"ID",1971,0.35
"ID",1972,0.35
"ID",1973,0.4
"ID",1974,0.54
"ID",1975,0.6
"ID",1976,0.62
"ID",1977,0.66
"ID",1978,0.69
"ID",1979,0.91
"ID",1980,1.22
"ID",1981,1.41
"ID",1982,1.35
"ID",1983,1.18
"ID",1984,1.17
"ID",1985,1.16
"ID",1986,0.88
"ID",1987,0.91
"IL",1970,0.38
"IL",1971,0.38
"IL",1972,0.36
"IL",1973,0.41
"IL",1974,0.56
"IL",1975,0.59
"IL",1976,0.62
"IL",1977,0.65
"IL",1978,0.67
"IL",1979,0.91
"IL",1980,1.23
"IL",1981,1.33
"IL",1982,1.29
"IL",1983,1.14
"IL",1984,1.1
"IL",1985,1.13
"IL",1986,0.85
"IL",1987,0.9
"IN",1970,0.37
"IN",1971,0.38
"IN",1972,0.36
"IN",1973,0.39
"IN",1974,0.56
"IN",1975,0.59
"IN",1976,0.62
"IN",1977,0.65
"IN",1978,0.67
"IN",1979,0.91
"IN",1980,1.25
"IN",1981,1.38
"IN",1982,1.31
"IN",1983,1.14
"IN",1984,1.09
"IN",1985,1.11
"IN",1986,0.81
"IN",1987,0.86
"KS",1970,0.33
"KS",1971,0.33
"KS",1972,0.32
"KS",1973,0.38
"KS",1974,0.52
"KS",1975,0.56
"KS",1976,0.59
"KS",1977,0.63
"KS",1978,0.64
"KS",1979,0.86
"KS",1980,1.16
"KS",1981,1.26
"KS",1982,1.26
"KS",1983,1.12
"KS",1984,1.14
"KS",1985,1.16
"KS",1986,0.84
"KS",1987,0.88
"KY",1970,0.37
"KY",1971,0.38
"KY",1972,0.37
"KY",1973,0.4
"KY",1974,0.55
"KY",1975,0.59
"KY",1976,0.61
"KY",1977,0.64
"KY",1978,0.65
"KY",1979,0.88
"KY",1980,1.21
"KY",1981,1.34
"KY",1982,1.29
"KY",1983,1.12
"KY",1984,1.09
"KY",1985,1.1
"KY",1986,0.84
"KY",1987,0.92
"LA",1970,0.36
"LA",1971,0.36
"LA",1972,0.34
"LA",1973,0.37
"LA",1974,0.5
"LA",1975,0.56
"LA",1976,0.6
"LA",1977,0.63
"LA",1978,0.67
"LA",1979,0.89
"LA",1980,1.24
"LA",1981,1.38
"LA",1982,1.28
"LA",1983,1.13
"LA",1984,1.12
"LA",1985,1.17
"LA",1986,0.88
"LA",1987,0.89
"MA",1970,0.36
"MA",1971,0.37
"MA",1972,0.36
"MA",1973,0.39
"MA",1974,0.55
"MA",1975,0.59
"MA",1976,0.61
"MA",1977,0.65
"MA",1978,0.64
"MA",1979,0.87
"MA",1980,1.21
"MA",1981,1.36
"MA",1982,1.26
"MA",1983,1.16
"MA",1984,1.11
"MA",1985,1.15
"MA",1986,0.91
"MA",1987,0.95
"MD",1970,0.36
"MD",1971,0.36
"MD",1972,0.38
"MD",1973,0.39
"MD",1974,0.57
"MD",1975,0.61
"MD",1976,0.63
"MD",1977,0.66
"MD",1978,0.67
"MD",1979,0.88
"MD",1980,1.24
"MD",1981,1.39
"MD",1982,1.3
"MD",1983,1.17
"MD",1984,1.13
"MD",1985,1.19
"MD",1986,0.94
"MD",1987,1.01
"ME",1970,0.38
"ME",1971,0.39
"ME",1972,0.38
"ME",1973,0.4
"ME",1974,0.54
"ME",1975,0.57
"ME",1976,0.59
"ME",1977,0.63
"ME",1978,0.65
"ME",1979,0.87
"ME",1980,1.21
"ME",1981,1.34
"ME",1982,1.26
"ME",1983,1.19
"ME",1984,1.13
"ME",1985,1.17
"ME",1986,0.92
"ME",1987,0.97
"MI",1970,0.34
"MI",1971,0.35
"MI",1972,0.34
"MI",1973,0.4
"MI",1974,0.57
"MI",1975,0.59
"MI",1976,0.61
"MI",1977,0.65
"MI",1978,0.67
"MI",1979,0.91
"MI",1980,1.26
"MI",1981,1.38
"MI",1982,1.32
"MI",1983,1.17
"MI",1984,1.14
"MI",1985,1.14
"MI",1986,0.85
"MI",1987,0.89
"MN",1970,0.37
"MN",1971,0.37
"MN",1972,0.37
"MN",1973,0.39
"MN",1974,0.54
"MN",1975,0.58
"MN",1976,0.61
"MN",1977,0.65
"MN",1978,0.63
"MN",1979,0.88
"MN",1980,1.19
"MN",1981,1.32
"MN",1982,1.31
"MN",1983,1.19
"MN",1984,1.17
"MN",1985,1.22
"MN",1986,0.93
"MN",1987,0.96
"MO",1970,0.34
"MO",1971,0.36
"MO",1972,0.36
"MO",1973,0.39
"MO",1974,0.54
"MO",1975,0.57
"MO",1976,0.59
"MO",1977,0.63
"MO",1978,0.63
"MO",1979,0.87
"MO",1980,1.17
"MO",1981,1.27
"MO",1982,1.24
"MO",1983,1.09
"MO",1984,1.06
"MO",1985,1.07
"MO",1986,0.76
"MO",1987,0.85
"MS",1970,0.36
"MS",1971,0.38
"MS",1972,0.37
"MS",1973,0.39
"MS",1974,0.52
"MS",1975,0.54
"MS",1976,0.57
"MS",1977,0.62
"MS",1978,0.65
"MS",1979,0.94
"MS",1980,1.32
"MS",1981,1.46
"MS",1982,1.38
"MS",1983,1.11
"MS",1984,1.09
"MS",1985,1.09
"MS",1986,0.82
"MS",1987,0.87
"MT",1970,0.36
"MT",1971,0.37
"MT",1972,0.35
"MT",1973,0.4
"MT",1974,0.54
"MT",1975,0.6
"MT",1976,0.61
"MT",1977,0.66
"MT",1978,0.69
"MT",1979,0.92
"MT",1980,1.25
"MT",1981,1.38
"MT",1982,1.31
"MT",1983,1.15
"MT",1984,1.14
"MT",1985,1.15
"MT",1986,0.84
"MT",1987,0.95
"NC",1970,0.35
"NC",1971,0.37
"NC",1972,0.37
"NC",1973,0.39
"NC",1974,0.52
"NC",1975,0.57
"NC",1976,0.6
"NC",1977,0.62
"NC",1978,0.64
"NC",1979,0.87
"NC",1980,1.24
"NC",1981,1.38
"NC",1982,1.32
"NC",1983,1.15
"NC",1984,1.12
"NC",1985,1.13
"NC",1986,0.84
"NC",1987,0.92
"ND",1970,0.35
"ND",1971,0.37
"ND",1972,0.33
"ND",1973,0.39
"ND",1974,0.53
"ND",1975,0.59
"ND",1976,0.62
"ND",1977,0.66
"ND",1978,0.69
"ND",1979,0.92
"ND",1980,1.25
"ND",1981,1.38
"ND",1982,1.32
"ND",1983,1.22
"ND",1984,1.19
"ND",1985,1.21
"ND",1986,0.87
"ND",1987,0.94
"NE",1970,0.38
"NE",1971,0.38
"NE",1972,0.38
"NE",1973,0.4
"NE",1974,0.53
"NE",1975,0.6
"NE",1976,0.63
"NE",1977,0.66
"NE",1978,0.69
"NE",1979,0.93
"NE",1980,1.26
"NE",1981,1.42
"NE",1982,1.34
"NE",1983,1.2
"NE",1984,1.19
"NE",1985,1.21
"NE",1986,0.91
"NE",1987,0.95
"NH",1970,0.37
"NH",1971,0.38
"NH",1972,0.38
"NH",1973,0.4
"NH",1974,0.55
"NH",1975,0.57
"NH",1976,0.6
"NH",1977,0.63
"NH",1978,0.65
"NH",1979,0.91
"NH",1980,1.26
"NH",1981,1.4
"NH",1982,1.32
"NH",1983,1.19
"NH",1984,1.13
"NH",1985,1.16
"NH",1986,0.92
"NH",1987,0.95
"NJ",1970,0.37
"NJ",1971,0.38
"NJ",1972,0.36
"NJ",1973,0.39
"NJ",1974,0.57
"NJ",1975,0.6
"NJ",1976,0.62
"NJ",1977,0.65
"NJ",1978,0.65
"NJ",1979,0.9
"NJ",1980,1.24
"NJ",1981,1.37
"NJ",1982,1.26
"NJ",1983,1.13
"NJ",1984,1.08
"NJ",1985,1.12
"NJ",1986,0.86
"NJ",1987,0.91
"NM",1970,0.37
"NM",1971,0.37
"NM",1972,0.36
"NM",1973,0.38
"NM",1974,0.53
"NM",1975,0.59
"NM",1976,0.6
"NM",1977,0.64
"NM",1978,0.66
"NM",1979,0.86
"NM",1980,1.2
"NM",1981,1.37
"NM",1982,1.33
"NM",1983,1.15
"NM",1984,1.14
"NM",1985,1.14
"NM",1986,0.88
"NM",1987,0.93
"NV",1970,0.38
"NV",1971,0.37
"NV",1972,0.39
