years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1976,3934417,60/516,Robertshaw Controls Company,2,org_WLFbXEQXv0uuNglpaujt,US,VA,405316,4.0,60/516
1976,3937017,60/516,Maschinenfabrik Augsburg-Nurnberg Aktiengesellschaft,3,org_d7Cgs8GkaSDEwmfFOL1Z,DT,,119492,3.0,60/516
1976,3953715,701/123,Societe des Procedes Modernes d'Injection Sopromi,3,org_Z8mWQfh54whRqC1GqzOM,FR,,443684,1.0,701/123
1976,3953716,701/123,Agence Nationale de Valorisation de la Recherche (ANVAR),7,org_7IZPx0no0y4uuAMGwkei,FR,,54873,1.0,701/123
1976,3956895,60/516,The United States of America as represented by the National Institute of Health,6,org_aaQSmBL5udG3Y90mfh5v,US,DC,76455,4.0,60/516
1976,3956898,60/698,"Combustion Engineering, Inc.",2,org_5jkJ96hMiw938qSgh5Mq,US,CT,40134,1.0,60/698
1976,3958418,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,701/123
1976,3964443,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/103
1976,3966362,60/698,"Airco, Inc.",2,org_pAnvrlWe1Qc9YtqVFnnr,US,NJ,297100,1.0,60/698
1976,3967097,701/123,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,701/123
1976,3967175,903/903,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,PA,336770,1.0,903/903
1976,3969614,701/103,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,3.0,701/123
1976,3970163,903/905,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JA,,43058,1.0,903/905
1976,3975952,701/123,Caterpillar Tractor Co.,2,org_pDk0VhqxpSgeexoQra8Q,US,IL,298496,3.0,701/123
1976,3981282,701/110,Lumenition Limited,3,org_bYR1RbcGDFc826crIDMD,GB,,102285,1.0,701/110
1976,3983372,701/123,Chevron Research Company,2,org_D7AO2tDIwGfvNcTHH8jl,US,CA,119471,1.0,701/123
1976,3983533,701/123,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,2.0,701/123
1976,3983696,60/272,Audi Nsu Auto Union Aktiengesellschaft,3,org_PkasPZOnIqullkKHw8WD,DT,,301611,1.0,60/272
1976,3983851,701/110,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JA,,436191,1.0,701/110
1976,3984977,60/272,"Toyo Kogyo Co., Ltd.",3,org_TSOSzugeNFK9ItGw5Nd9,JA,,364454,2.0,60/272
1976,3984978,60/698,The Cessna Aircraft Company,2,org_naoESCsHYh4BjBn7LiPm,US,KS,267646,1.0,60/698
1976,3986006,701/104,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3986009,701/101,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,1.0,701/101
1976,3987143,60/272,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,60/272
1976,3988600,701/123,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3989024,701/101,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,2.0,701/101
1976,3991564,60/698,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,NY,336770,2.0,903/903
1976,3991726,701/113,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,701/113
1976,3991727,701/104,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3992885,60/698,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,JA,,329040,1.0,60/698
1977,4004421,60/516,Ketobi Associates,2,org_SLCJ3IRoKYjXl65NBtxY,US,CA,346204,1.0,60/516
1977,4006595,60/516,"Orange State, Inc.",2,org_iDCdrq8F2zIjfEcRVtco,US,FL,195029,1.0,60/516
1977,4008607,701/123,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JA,,316278,3.0,701/123
1977,4008698,701/113,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,1.0,701/113
1977,4010717,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/103
1977,4018195,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,60/272
1977,4020635,60/698,Automotive Products plc,3,org_itOgP74xhayLw9QG7JKJ,GB,,202905,2.0,60/698
1977,4026251,701/123,Pennsylvania Research Corporation,2,org_i8GCqTUxQCbuIKslHqPz,US,PA,193059,3.0,701/123
1977,4027993,60/698,Polaroid Corporation,2,org_VkZj2urRfJOeTtjEmiQr,US,MA,390298,1.0,60/698
1977,4032755,701/103,The Lucas Electrical Company Limited,3,org_ZfsUxKZXEllQLmIt3Bxm,GB,,446766,2.0,701/103
1977,4034723,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,60/272
1977,4035619,701/101,Texas Instruments Incorporated,2,org_wc04cUrRKOIlCxgRGBRE,US,TX,400769,1.0,701/101
1977,4038526,701/123,The Secretary of State for Defence in Her Britanic Majesty's Government of the United Kingdom of Great Britain and Northern Ireland,7,org_w0yiPjKfppuZ6ZILtN6j,EN,,397663,2.0,701/123
1977,4042056,903/914,Automobile Corporation of America,2,org_uR7dLv1cLBgpsOv0Of4B,US,CT,378539,1.0,903/914
1977,4044234,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,2.0,701/123
1977,4044235,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,1.0,701/123
1977,4044236,701/101,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,3.0,701/123
1977,4046114,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,60/272
1977,4046998,701/123,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/123
1977,4048479,701/104,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,1.0,701/104
1977,4048964,701/104,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,701/104
1977,4052260,60/698,Kernforschungsanlage Julich Gesellschaft mit beschrankter Haftung,3,org_WHJGsi4cQq6L3eq9PKTQ,DE,,403481,4.0,60/698
1977,4054051,60/516,"Cutler-Hammer, Inc.",2,org_9mzAdRcK21L28CuzEph8,US,WI,70547,1.0,60/516
1977,4054781,701/123,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/123
1977,4057042,701/103,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JA,,43058,1.0,701/103
1977,4058709,701/105,Allied Chemical Corporation,2,org_dEVgXGdyiDJw8fm0L76W,US,NJ,122439,1.0,701/105
1977,4061023,701/123,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1977,4061025,701/110,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,2.0,701/110
1977,4062232,701/101,RCA Corporation,2,org_UxENMMIZvKLjwKOJAWEc,US,NY,381398,1.0,701/101
