,Country,Region,Income Group,isocode,year,id,isocode.1,factor1,f1.2 Government powers are effectively limited by the legislature,f1.3 Government powers are effectively limited by the judiciary,f1.4 Government powers are effectively limited by independent auditing and review,f1.5 Government officials are sanctioned for misconduct,f1.6 Government powers are subject to non-governmental checks,f1.7 Transition of power is subject to the law,factor2,f2.1 Government officials in the executive branch do not use public office for private gain,f2.2 Government officials in the judicial branch do not use public office for private gain,f2.3 Government officials in the police and the military do not use public office for private gain,f2.4 Government officials in the legislative branch do not use public office for private gain,factor3,f3.1 Crime is effectively controlled,f3.2 Civil conflict is effectively limited,f3.3 People do not resort to violence to redress personal grievances,factor4,f4.1 Equal treatment and absence of discrimination,f4.2 The right to life and security of the person is effectively guaranteed,f4.3 Due process of law and rights of the accused,f4.4 Freedom of opinion and expression is effectively guaranteed,f4.5 Freedom of belief and religion is effectively guaranteed,f4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,f4.7 Freedom of assembly and association is effectively guaranteed,f4.8 Fundamental labor rights are effectively guaranteed,factor5,f5.1 The laws are publicized and accessible,f5.2 The laws are stable,f5.3 Right to petition the government and public participation,f5.4 Official information is available on request,factor6,f6.1 Government regulations are effectively enforced,f6.2 Government regulations are applied and enforced without improper influence,f6.3 Administrative proceedings are conducted without unreasonable delay,f6.4 Due process is respected in administrative proceedings,f6.5 The Government does not expropriate without adequate compensation,factor7,f7.1 People can access and afford civil justice,f7.2 Civil justice is free of discrimination,f7.3 Civil justice is free of corruption,f7.4 Civil justice is free of improper government influence,f7.5 Civil justice is not subject to unreasonable delays,f7.6 Civil justice is effectively enforced,"f7.7 ADRs are accessible, impartial, and effective",factor8,f8.1 Criminal investigation system is effective,f8.2 Criminal adjudication system is timely and effective,f8.3 Correctional system is effective in reducing criminal behavior,f8.4 Criminal system is impartial,f8.5 Criminal system is free of corruption,f8.6 Criminal system is free of improper government influence,f8.7 Due process of law and rights of the accused,country,coun3,atkinson2,gini,m2mratio,palmaratio,income1,income2,income3,income4,income5,income6,income7,income8,income9,income10,incomeatperc1,incomeatperc10,incomeatperc20,incomeatperc30,incomeatperc40,incomeatperc50,incomeatperc60,incomeatperc70,incomeatperc80,incomeatperc90,incomeatperc95,incomeatperc99,incomeatperc100,mean,mean2011PPP,mld,ratio90to10levels,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10,growthrate,incdefn,population,databasesource,sharetop1,sharetop5,source1,sqcoeffvariation,surveysource2,surveyyears,consumptionsurvey,theil
9,Botswana,Sub-Saharan Africa,Upper middle income,BWA,2012,BWA2012,BWA,0.73,0.76,0.79,0.59,0.7,0.76,0.8,0.75,0.72,0.8,0.77,0.71,0.76,0.67,1.0,0.62,0.59,0.5,0.58,0.66,0.76,0.68,0.21,0.74,0.61,0.67,0.67,0.7,0.86,0.46,0.71,0.74,0.79,0.61,0.65,0.76,0.65,0.59,0.46,0.83,0.83,0.5,0.69,0.67,0.72,0.75,0.74,0.5,0.7,0.85,0.82,0.66,Botswana,BWA,0.8157762,0.632413,2.824937,9.594107000000001,13.244710000000001,36.36193,60.93551,89.5342,124.7112,170.547,234.9241,336.4378,536.7618,1919.5539999999999,,,,,,,,,,,,,,352.3012,,0.8775218000000001,,0.0037595,0.010321299999999999,0.017296400000000003,0.0254141,0.035399,0.0484094,0.0666827,0.0954972,0.1523588,0.5448616,0.70691878,,2132822.0,,,,,1.1915790000000002,,0.0,,0.7836510999999999
12,Burkina Faso,Sub-Saharan Africa,Low income,BFA,2012,BFA2012,BFA,0.43,0.4,0.41,0.39,0.36,0.5,0.53,0.5,0.51,0.58,0.52,0.38,0.7,0.79,1.0,0.32,0.59,0.7,0.49,0.38,0.51,0.8,0.4,0.71,0.7,0.41,0.32,0.48,0.44,0.4,0.56,0.5,0.63,0.53,0.48,0.68,0.59,0.46,0.68,0.56,0.56,0.54,0.61,0.72,0.45,0.56,0.47,0.26,0.6,0.45,0.41,0.38,Burkina Faso,BFA,0.6749866999999999,0.5779194999999999,2.258153,5.8176440000000005,4.068156,7.611395,11.067910000000001,14.925989999999999,19.44288,24.9948,32.28886,42.9719,62.50724,219.1707,,,,,,,,,,,,,,43.904990000000005,,0.6333738,,0.0092658,0.0173361,0.0252088,0.0339961,0.044284,0.0569293,0.0735426,0.0978748,0.1423693,0.4991932,-22.900423999999997,,16590813.0,,,,,0.9591527,,0.0,,0.6362238
14,Cameroon,Sub-Saharan Africa,Lower middle income,CMR,2012,CMR2012,CMR,0.31,0.24,0.27,0.44,0.38,0.36,0.16,0.2,0.23,0.28,0.19,0.11,0.62,0.74,0.83,0.28,0.42,0.4,0.43,0.28,0.36,0.63,0.35,0.52,0.39,0.27,0.34,0.25,0.27,0.21,0.28,0.35,0.29,0.18,0.25,0.35,0.35,0.43,0.44,0.26,0.36,0.18,0.21,0.54,0.32,0.42,0.33,0.06,0.4,0.22,0.51,0.28,Cameroon,CMR,0.6981354000000001,0.5880981,2.330031,6.3529860000000005,8.937125,16.1941,24.44057,33.98296,45.33764,59.403369999999995,77.93336,105.0361,154.2936,530.8221,,,,,,,,,,,,,,105.6381,,0.6681295,,0.0084601,0.0153298,0.0231361,0.0321692,0.0429179,0.05623290000000001,0.07377389999999999,0.09943010000000001,0.1460586,0.5024912,2.8098394,,21659488.0,,,,,0.9802015,,0.0,,0.6548807
19,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,CIV,2012,CIV2012,CIV,0.43,0.46,0.35,0.41,0.41,0.45,0.48,0.39,0.44,0.35,0.47,0.32,0.58,0.6,0.75,0.37,0.5,0.65,0.28,0.29,0.46,0.77,0.25,0.64,0.67,0.37,0.25,0.33,0.51,0.4,0.48,0.36,0.47,0.52,0.42,0.65,0.51,0.48,0.54,0.42,0.51,0.39,0.49,0.74,0.37,0.43,0.49,0.11,0.38,0.37,0.54,0.29,Cote d'Ivoire,CIV,0.7288496999999999,0.5865712,2.3162380000000002,6.314255999999999,6.091566,14.46031,22.3738,31.044890000000002,41.25808,54.10414,71.58813,98.32648,149.3189,467.0692,,,,,,,,,,,,,,95.56355,,0.6853734,,0.0063744,0.0151316,0.0234125,0.0324861,0.043173500000000004,0.0566159,0.0749115,0.1028912,0.1562509,0.48875240000000003,13.837891,,21102641.0,,,,,0.93217,,0.0,,0.641412
28,Ethiopia,Sub-Saharan Africa,Low income,ETH,2012,ETH2012,ETH,0.36,0.41,0.34,0.39,0.49,0.25,0.28,0.44,0.46,0.31,0.49,0.5,0.56,0.69,0.58,0.41,0.41,0.48,0.46,0.41,0.25,0.67,0.33,0.3,0.35,0.29,0.5,0.14,0.34,0.2,0.36,0.37,0.51,0.35,0.15,0.43,0.46,0.45,0.47,0.35,0.38,0.41,0.44,0.68,0.49,0.67,0.53,0.37,0.58,0.47,0.43,0.41,Ethiopia,ETH,0.6384383000000001,0.5550679000000001,2.139534,4.9092970000000005,7.358994,14.25058,19.93446,25.86041,32.666709999999995,41.12233,52.58504,70.16588,104.0629,330.9084,,,,,,,,,,,,,,69.89156,,0.5708528,,0.0105292,0.020389599999999997,0.028522000000000002,0.0370008,0.0467391,0.0588373,0.075238,0.1003925,0.1488919,0.4734597,0.44435014,,92191211.0,,,,,0.8521390999999999,,0.0,,0.5789863000000001
33,Ghana,Sub-Saharan Africa,Low income,GHA,2012,GHA2012,GHA,0.72,0.84,0.7,0.52,0.55,0.85,0.88,0.45,0.45,0.64,0.27,0.43,0.68,0.77,1.0,0.27,0.72,0.72,0.63,0.48,0.85,0.82,0.63,0.95,0.67,0.55,0.44,0.62,0.7,0.45,0.52,0.52,0.52,0.52,0.38,0.67,0.61,0.61,0.7,0.63,0.69,0.36,0.47,0.77,0.45,0.36,0.31,0.35,0.5,0.43,0.7,0.48,Ghana,GHA,0.6419232,0.5603365,2.157022,5.181369,16.23511,27.50272,39.19717,52.41896,67.95522,87.03662,112.0044,148.3014,213.8383,701.3188,,,,,,,,,,,,,,146.5809,,0.5825294,,0.0110759,0.0187628,0.026741,0.0357611,0.0463602,0.0593779,0.07641139999999999,0.10117380000000001,0.14588420000000002,0.4784518,-3.726743,,25544565.0,,,,,0.872084,,0.0,,0.5902763000000001
46,Kenya,Sub-Saharan Africa,Low income,KEN,2012,KEN2012,KEN,0.45,0.56,0.39,0.36,0.34,0.6,0.43,0.27,0.32,0.44,0.26,0.06,0.62,0.66,1.0,0.2,0.54,0.43,0.43,0.41,0.61,0.74,0.39,0.78,0.49,0.44,0.39,0.48,0.49,0.38,0.39,0.37,0.36,0.35,0.41,0.47,0.47,0.5,0.47,0.36,0.51,0.35,0.48,0.64,0.4,0.44,0.3,0.29,0.33,0.34,0.66,0.41,Kenya,KEN,0.7430055999999999,0.6050561,2.4284779999999997,7.195968,5.3414269999999995,12.08335,18.929289999999998,26.660020000000003,35.77238,47.02856,61.87979,83.72224,123.8602,453.4473,,,,,,,,,,,,,,86.87246,,0.7336550999999999,,0.006148600000000001,0.0139093,0.021789700000000002,0.0306887,0.041178,0.054135199999999994,0.0712306,0.09637369999999999,0.14257709999999998,0.5219689999999999,3.0218979999999998,,42542978.0,,,,,1.067078,,0.0,,0.7015737
49,Liberia,Sub-Saharan Africa,Low income,LBR,2012,LBR2012,LBR,0.53,0.73,0.49,0.25,0.32,0.69,0.71,0.36,0.31,0.45,0.45,0.22,0.56,0.52,1.0,0.16,0.52,0.4,0.43,0.37,0.7,0.73,0.47,0.73,0.35,0.39,0.3,0.33,0.54,0.38,0.23,0.26,0.27,0.13,0.13,0.35,0.33,0.49,0.21,0.41,0.4,0.27,0.29,0.22,0.35,0.38,0.43,0.19,0.14,0.38,0.56,0.37,Liberia,LBR,0.6811195,0.564524,2.1676130000000002,5.344904,1.368582,2.98,4.40969,5.933448,7.697450999999999,9.88976,12.847339999999999,17.33967,25.85912,78.52585,,,,,,,,,,,,,,16.68509,,0.6120433000000001,,0.0082024,0.0178603,0.026428899999999998,0.0355614,0.0461337,0.059273,0.0769989,0.1039232,0.1549834,0.4706348,-10.186746000000001,,4190155.0,,,,,0.8511841,,0.0,,0.5908453
51,Madagascar,Sub-Saharan Africa,Low income,MDG,2012,MDG2012,MDG,0.45,0.5,0.41,0.45,0.44,0.47,0.45,0.39,0.46,0.43,0.39,0.28,0.76,0.73,0.92,0.64,0.58,0.66,0.51,0.45,0.47,0.85,0.33,0.6,0.74,0.5,0.51,0.86,0.37,0.26,0.46,0.49,0.48,0.37,0.46,0.51,0.53,0.5,0.88,0.41,0.54,0.25,0.42,0.75,0.49,0.54,0.61,0.45,0.49,0.34,0.58,0.45,Madagascar,MDG,0.6857175999999999,0.5787319000000001,2.287473,5.79338,2.0254209999999997,4.224843,6.1361419999999995,8.17143,10.54,13.51034,17.56729,23.83126,35.9935,119.0993,,,,,,,,,,,,,,24.10996,,0.6405683000000001,,0.0084008,0.0175232,0.0254507,0.0338923,0.043716399999999996,0.056036300000000004,0.07286319999999999,0.0988441,0.1492889,0.49398400000000003,0.45773639,,22293720.0,,,,,0.9430594000000001,,0.0,,0.63321
52,Malawi,Sub-Saharan Africa,Low income,MWI,2012,MWI2012,MWI,0.49,0.53,0.51,0.43,0.44,0.49,0.51,0.44,0.41,0.65,0.38,0.31,0.69,0.63,1.0,0.44,0.47,0.56,0.5,0.32,0.5,0.54,0.39,0.58,0.41,0.43,0.4,0.42,0.61,0.29,0.45,0.36,0.4,0.56,0.39,0.54,0.59,0.56,0.75,0.61,0.6,0.41,0.5,0.74,0.45,0.55,0.57,0.18,0.48,0.42,0.65,0.32,Malawi,MWI,0.7114206999999999,0.5944635,2.364928,6.592687,3.216572,6.466616999999999,9.7674,13.49368,17.884,23.30416,30.45028,40.950520000000004,60.21912,217.1913,,,,,,,,,,,,,,42.29436,,0.6890531,,0.0076051999999999995,0.015289500000000001,0.0230939,0.0319042,0.0422846,0.0550999,0.07199610000000001,0.09682260000000001,0.142381,0.513523,-4.0937521,,15700436.0,,,,,1.026015,,0.0,,0.6758754
62,Nigeria,Sub-Saharan Africa,Lower middle income,NGA,2012,NGA2012,NGA,0.45,0.62,0.49,0.24,0.32,0.55,0.48,0.25,0.26,0.46,0.21,0.05,0.47,0.49,0.58,0.35,0.45,0.48,0.29,0.21,0.56,0.5,0.35,0.74,0.46,0.35,0.33,0.39,0.4,0.28,0.42,0.36,0.44,0.38,0.37,0.52,0.53,0.55,0.56,0.51,0.56,0.35,0.5,0.66,0.28,0.26,0.27,0.14,0.23,0.32,0.55,0.21,Nigeria,NGA,0.5098033,0.48827570000000003,1.7223130000000002,3.015979,14.47078,22.05947,29.962429999999998,38.49005,48.07996,59.43923,73.89062,94.43913,130.6298,316.6239,,,,,,,,,,,,,,82.80872,,0.391065,,0.0174749,0.026639099999999995,0.0361827,0.04648069999999999,0.0580615,0.071779,0.08923049999999999,0.11404489999999999,0.1577488,0.3823558,-2.6512445,,168000000.0,,,,,0.5252892,,0.0,,0.39605799999999997
